Rank,Player,Team,POS
1,Christian McCaffrey,SF,RB
2,CeeDee Lamb,DAL,WR
3,Tyreek Hill,MIA,WR
4,Breece Hall,NYJ,RB
5,Amon-Ra St. Brown,DET,WR
6,Justin Jefferson,MIN,WR
7,Bijan Robinson,ATL,RB
8,Ja'Marr Chase,CIN,WR
9,Garrett Wilson,NYJ,WR
10,A.J. Brown,PHI,WR
11,Puka Nacua,LAR,WR
12,Marvin Harrison Jr.,ARI,WR
13,Drake London,ATL,WR
14,Jonathan Taylor,IND,RB
15,Jahmyr Gibbs,DET,RB
16,Brandon Aiyuk,SF,WR
17,Davante Adams,LV,WR
18,DK Metcalf,SEA,WR
19,De'Von Achane,MIA,RB
20,Mike Evans,TB,WR
21,Deebo Samuel Sr.,SF,WR
22,Malik Nabers,NYG,WR
23,Saquon Barkley,PHI,RB
24,Chris Olave,NO,WR
25,Jaylen Waddle,MIA,WR
26,Kyren Williams,LAR,RB
27,Nico Collins,HOU,WR
28,Cooper Kupp,LAR,WR
29,DJ Moore,CHI,WR
30,Travis Etienne Jr.,JAX,RB
31,Derrick Henry,BAL,RB
32,DeVonta Smith,PHI,WR
33,Rashee Rice,KC,WR
34,Josh Jacobs,GB,RB
35,Sam LaPorta,DET,TE
36,Travis Kelce,KC,TE
37,Josh Allen,BUF,QB
38,Jalen Hurts,PHI,QB
39,Isiah Pacheco,KC,RB
40,Amari Cooper,CLE,WR
41,George Pickens,PIT,WR
42,Tank Dell,HOU,WR
43,Michael Pittman Jr.,IND,WR
44,Rachaad White,TB,RB
45,Kenneth Walker III,SEA,RB
46,James Cook,BUF,RB
47,Mark Andrews,BAL,TE
48,Patrick Mahomes II,KC,QB
49,Lamar Jackson,BAL,QB
50,Dalton Kincaid,BUF,TE
51,Alvin Kamara,NO,RB
52,Anthony Richardson,IND,QB
53,Terry McLaurin,WAS,WR
54,Christian Kirk,JAX,WR
55,Stefon Diggs,HOU,WR
56,Trey McBride,ARI,TE
57,Tee Higgins,CIN,WR
58,Zay Flowers,BAL,WR
59,George Kittle,SF,TE
60,Kyle Pitts,ATL,TE
61,Joe Mixon,HOU,RB
62,Diontae Johnson,CAR,WR
63,Keenan Allen,CHI,WR
64,James Conner,ARI,RB
65,C.J. Stroud,HOU,QB
66,Chris Godwin,TB,WR
67,Calvin Ridley,TEN,WR
68,David Montgomery,DET,RB
69,Xavier Worthy,KC,WR
70,Rhamondre Stevenson,NE,RB
71,Jaxon Smith-Njigba,SEA,WR
72,D'Andre Swift,CHI,RB
73,Aaron Jones,MIN,RB
74,Raheem Mostert,MIA,RB
75,Dak Prescott,DAL,QB
76,Kyler Murray,ARI,QB
77,Rome Odunze,CHI,WR
78,Brian Thomas Jr.,JAX,WR
79,Joe Burrow,CIN,QB
80,Jayden Reed,GB,WR
81,Christian Watson,GB,WR
82,DeAndre Hopkins,TEN,WR
83,Najee Harris,PIT,RB
84,Brian Robinson Jr.,WAS,RB
85,Zamir White,LV,RB
86,Javonte Williams,DEN,RB
87,Tony Pollard,TEN,RB
88,Jonathon Brooks,CAR,RB
89,Courtland Sutton,DEN,WR
90,Devin Singletary,NYG,RB
91,Tyjae Spears,TEN,RB
92,Chase Brown,CIN,RB
93,Ladd McConkey,LAC,WR
94,Brandin Cooks,DAL,WR
95,Evan Engram,JAX,TE
96,Jordan Love,GB,QB
97,Jayden Daniels,WAS,QB
98,Jaylen Warren,PIT,RB
99,Brock Bowers,LV,TE
100,Zack Moss,CIN,RB
101,Jameson Williams,DET,WR
102,Curtis Samuel,BUF,WR
103,Jakobi Meyers,LV,WR
104,Rashid Shaheed,NO,WR
105,Brock Purdy,SF,QB
106,Caleb Williams,CHI,QB
107,Austin Ekeler,WAS,RB
108,Mike Williams,NYJ,WR
109,Tyler Lockett,SEA,WR
110,Keon Coleman,BUF,WR
111,Jordan Addison,MIN,WR
112,Joshua Palmer,LAC,WR
113,Romeo Doubs,GB,WR
114,Jerome Ford,CLE,RB
115,Nick Chubb,CLE,RB
116,Gus Edwards,LAC,RB
117,Khalil Shakir,BUF,WR
118,Blake Corum,LAR,RB
119,Ty Chandler,MIN,RB
120,Zach Charbonnet,SEA,RB
121,Trey Benson,ARI,RB
122,Jerry Jeudy,CLE,WR
123,Marquise Brown,KC,WR
124,David Njoku,CLE,TE
125,Jake Ferguson,DAL,TE
126,Chuba Hubbard,CAR,RB
127,Dontayvion Wicks,GB,WR
128,Adonai Mitchell,IND,WR
129,Ja'Lynn Polk,NE,WR
130,J.K. Dobbins,LAC,RB
131,Tyler Allgeier,ATL,RB
132,Tyrone Tracy Jr.,NYG,RB
133,Jaleel McLaughlin,DEN,RB
134,MarShawn Lloyd,GB,RB
135,Ray Davis,BUF,RB
136,Rico Dowdle,DAL,RB
137,Ezekiel Elliott,DAL,RB
138,Jordan Mason,SF,RB
139,Jaylen Wright,MIA,RB
140,Antonio Gibson,NE,RB
141,Braelon Allen,NYJ,RB
142,Bucky Irving,TB,RB
143,Khalil Herbert,CHI,RB
144,Demarcus Robinson,LAR,WR
145,Roschon Johnson,CHI,RB
146,Kimani Vidal,LAC,RB
147,Dallas Goedert,PHI,TE
148,Pat Freiermuth,PIT,TE
149,Tyler Conklin,NYJ,TE
150,Samaje Perine,KC,RB
151,Taysom Hill,NO,TE
152,Darnell Mooney,ATL,WR
153,Rashod Bateman,BAL,WR
154,Josh Downs,IND,WR
155,Adam Thielen,CAR,WR
156,Gabe Davis,JAX,WR
157,Tank Bigsby,JAX,RB
158,Jared Goff,DET,QB
159,DeMario Douglas,NE,WR
160,Greg Dortch,ARI,WR
161,Michael Wilson,ARI,WR
162,Jalen McMillan,TB,WR
163,Kendre Miller,NO,RB
164,Dameon Pierce,HOU,RB
165,Carson Steele,KC,RB
166,Dalvin Cook,DAL,RB
167,Miles Sanders,CAR,RB
168,Tua Tagovailoa,MIA,QB
169,Trevor Lawrence,JAX,QB
170,Kirk Cousins,ATL,QB
171,Geno Smith,SEA,QB
172,Justin Herbert,LAC,QB
173,Wan'Dale Robinson,NYG,WR
174,Alexander Mattison,LV,RB
175,Ricky Pearsall,SF,WR
176,Will Shipley,PHI,RB
177,Audric Estime,DEN,RB
178,Jamaal Williams,NO,RB
179,Luke Musgrave,GB,TE
180,Cole Kmet,CHI,TE
181,Dalton Schultz,HOU,TE
182,Hunter Henry,NE,TE
183,T.J. Hockenson,MIN,TE
184,Jalen Tolbert,DAL,WR
185,Baker Mayfield,TB,QB
186,Matthew Stafford,LAR,QB
187,Isaac Guerendo,SF,RB
188,Justice Hill,BAL,RB
189,Kenneth Gainwell,PHI,RB
190,D'Onta Foreman,CLE,RB
191,Trey Sermon,IND,RB
192,Cam Akers,HOU,RB
193,Emanuel Wilson,GB,RB
194,Ben Sinnott,WAS,TE
195,Juwan Johnson,NO,TE
196,Aaron Rodgers,NYJ,QB
197,Deshaun Watson,CLE,QB
198,Bo Nix,DEN,QB
199,Dylan Laube,LV,RB
200,Andrei Iosivas,CIN,WR
201,Tyler Boyd,TEN,WR
202,Jalin Hyatt,NYG,WR
203,Cade Otton,TB,TE
204,Will Levis,TEN,QB
205,Odell Beckham Jr.,MIA,WR
206,Jonathan Mingo,CAR,WR
207,Xavier Legette,CAR,WR
208,Dyami Brown,WAS,WR
209,Josh Reynolds,DEN,WR
210,Jonnu Smith,MIA,TE
211,Noah Fant,SEA,TE
212,Greg Dulcich,DEN,TE
213,Pierre Strong Jr.,CLE,RB
214,Eric Gray,NYG,RB
215,D'Ernest Johnson,JAX,RB
216,Cordarrelle Patterson,PIT,RB
217,Isaiah Likely,BAL,TE
218,Mike Gesicki,CIN,TE
219,Xavier Gipson,NYJ,WR
220,Marvin Mims Jr.,DEN,WR
221,Malik Washington,MIA,WR
222,Bryce Young,CAR,QB
223,Daniel Jones,NYG,QB
224,Derek Carr,NO,QB
225,Colby Parkinson,LAR,TE
226,Theo Johnson,NYG,TE
227,Javon Baker,NE,WR
228,Chigoziem Okonkwo,TEN,TE
229,Jahan Dotson,PHI,WR
230,Jermaine Burton,CIN,WR
231,Tim Patrick,DET,WR
232,Sam Darnold,MIN,QB
233,Drake Maye,NE,QB
234,Russell Wilson,PIT,QB
235,Hayden Hurst,LAC,TE
236,Noah Brown,WAS,WR
237,Alec Pierce,IND,WR
238,Elijah Moore,CLE,WR
239,Tre Tucker,LV,WR
240,Clyde Edwards-Helaire,KC,RB
241,Ty Johnson,BUF,RB
242,Craig Reynolds,DET,RB
243,Sione Vaki,DET,RB
244,Jalen Nailor,MIN,WR
245,Kenny McIntosh,SEA,RB
246,Ray-Ray McCloud III,ATL,WR
247,Luke McCaffrey,WAS,WR
248,Michael Mayer,LV,TE
249,Tucker Kraft,GB,TE
250,Ja'Tavion Sanders,CAR,"TE
"
